epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3737,1.1547,3.05069,1.49225,0.36239,0.38896,0.32168,0.1925,1.24892,2.56441,1.63112,0.000367027,0.000367027,0.000367027
2,78.5817,1.28833,2.42996,1.56701,0.24371,0.45892,0.30648,0.18401,1.41601,2.51297,1.82358,0.000700861,0.000700861,0.000700861
3,114.418,1.34067,2.36022,1.59242,0.43529,0.26305,0.17138,0.08509,1.60595,3.94411,1.95737,0.000998032,0.000998032,0.000998032
4,149.568,1.3517,2.23931,1.60098,0.27193,0.34163,0.25111,0.14459,1.48355,2.8527,1.97992,0.000946016,0.000946016,0.000946016
5,184.563,1.28739,2.06452,1.57548,0.57788,0.4465,0.47109,0.27798,1.33714,2.0284,1.70297,0.000891022,0.000891022,0.000891022
6,220.573,1.26395,1.97886,1.54684,0.4685,0.43883,0.42048,0.26518,1.32318,2.02484,1.68191,0.000836027,0.000836027,0.000836027
7,258.741,1.23006,1.89258,1.51835,0.61674,0.51764,0.56809,0.39125,1.31752,1.97622,1.65244,0.000781033,0.000781033,0.000781033
8,293.863,1.23634,1.82748,1.5284,0.5635,0.5635,0.57546,0.39292,1.24068,1.73129,1.59844,0.000726038,0.000726038,0.000726038
9,328.013,1.191,1.70149,1.49287,0.65613,0.50939,0.55094,0.35593,1.31975,1.71968,1.64328,0.000671044,0.000671044,0.000671044
10,363.446,1.13137,1.58077,1.43816,0.71997,0.53197,0.62619,0.4298,1.20961,1.47333,1.56985,0.000616049,0.000616049,0.000616049
11,398.926,1.16193,1.63345,1.53145,0.69922,0.51298,0.60705,0.42079,1.25794,1.60906,1.60722,0.000561055,0.000561055,0.000561055
12,431.064,1.10018,1.4811,1.47151,0.69977,0.55492,0.6364,0.46559,1.11142,1.49741,1.48373,0.00050606,0.00050606,0.00050606
13,464.358,1.07342,1.36326,1.44555,0.74601,0.6045,0.67716,0.47668,1.16597,1.39764,1.50067,0.000451066,0.000451066,0.000451066
14,496.66,1.03955,1.23167,1.41159,0.78313,0.56627,0.68309,0.48344,1.17031,1.32172,1.48659,0.000396071,0.000396071,0.000396071
15,531.426,1.00568,1.18303,1.38161,0.70641,0.65542,0.70628,0.4925,1.17555,1.29992,1.51791,0.000341077,0.000341077,0.000341077
16,563.938,0.97134,1.08349,1.35371,0.76319,0.62621,0.70408,0.50401,1.13271,1.25257,1.4944,0.000286083,0.000286083,0.000286083
17,598.211,0.93784,1.03625,1.33114,0.71739,0.69273,0.71804,0.50314,1.13486,1.22141,1.50673,0.000231088,0.000231088,0.000231088
18,631.132,0.89875,0.97693,1.29536,0.71602,0.65468,0.71404,0.50949,1.09481,1.22709,1.45426,0.000176094,0.000176094,0.000176094
19,664.976,0.87987,0.93087,1.28646,0.74345,0.66217,0.72286,0.51914,1.11438,1.17483,1.4603,0.000121099,0.000121099,0.000121099
20,700.86,0.84487,0.89687,1.258,0.76944,0.66034,0.73728,0.53016,1.08387,1.17568,1.44425,6.61045e-05,6.61045e-05,6.61045e-05
